Name-additional,yearID,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
moranjo01,2023,Jovani Morán*,26,MIN,42.1,43,0,27,5.74,454.00%,15.00%,-30.00%,0.4,10130.00%,454.00%,-600.00%,-60.00%,1.21,-0.2,-40.00%,-2,0.486,0.496,"$726,200 ",Free Agency
morejad01,2023,Adrián Morejón*,24,SDP,9,8,1,7,7,464.00%,42.00%,-13.00%,0,9700.00%,397.00%,-300.00%,-30.00%,0.43,0,-20.00%,-2,0.463,0.498,"$800,000 ",Amateur Free Agent
moretda01,2023,Dauri Moreta,27,PIT,58,55,0,26,4.03,469.00%,4.00%,-31.00%,0.1,10090.00%,448.00%,300.00%,30.00%,1.03,-0.2,70.00%,9,0.506,0.502,"$725,000 ",Traded
morgael01,2023,Eli Morgan,27,CLE,67.1,61,0,37,4.95,467.00%,17.00%,-31.00%,0.08,9660.00%,412.00%,-700.00%,-70.00%,0.86,-0.1,-20.00%,0,0.488,0.496,"$727,000 ",Amateur Draft
moronre01,2023,Reyes Moronta,30,LAA,1.1,2,0,1,6.75,474.00%,-14.00%,-32.00%,0,10800.00%,493.00%,0.00%,0.00%,0.89,0,0.00%,0,0.486,0.5,,Free Agency
morrico01,2023,Cody Morris,26,CLE,8,6,0,6,6.75,490.00%,16.00%,-33.00%,0,9890.00%,436.00%,-200.00%,-20.00%,0.44,0,-10.00%,-1,0.463,0.499,,Amateur Draft
mortoch02,2023,Charlie Morton,39,ATL,163.1,30,30,70,3.86,464.00%,16.00%,22.00%,0,10190.00%,478.00%,1700.00%,180.00%,,-0.1,320.00%,33,0.56,0.511,"$20,000,000 ",Free Agency
muckeza01,2023,Zach Muckenhirn*,28,NYM,6,3,0,4,6,444.00%,-13.00%,-29.00%,0,10030.00%,429.00%,-100.00%,-10.00%,0.34,0,0.00%,-1,0.463,0.499,,Free Agency
mulleky01,2023,Kyle Muller*,25,OAK,77,21,13,65,7.6,473.00%,-60.00%,10.00%,0,9400.00%,510.00%,-2200.00%,-210.00%,0.66,0,-140.00%,-14,0.401,0.487,"$720,000 ",Traded
munozan01,2023,Andrés Muñoz,24,SEA,49,52,0,20,3.67,473.00%,8.00%,-32.00%,0.11,9370.00%,417.00%,200.00%,20.00%,1.83,0,70.00%,7,0.504,0.501,"$1,687,500 ",Traded
